Item Number,Old product code,LOCAL ITEM NAME TRANSLATION,UPC Code,Primary Units Type
2002592,25427,Blīvslēgs 25/42/7,2000000113593,Piece
2002593,2600.00.059,Svaru devējs Soehnle SEB4B-50-C3-HS,2000000130828,Piece
2002597,2707008,Mazgāšanas sprauslas gredzens,2000000102436,Piece
2002598,2707088,Sildelementu blīve tankam vai boilerim,2000000050942,Piece
2002599,2707093,Boilera līmeņa devēja blīve,2000000102429,Piece
2002600,273000,Brita Purity 450 filtra kārtridžs (273000),2000000034218,Piece
2002601,27344,Rīves nazis R401A,2000000114286,Piece
2002603,28052,Kubiņu rīve 4X4 CL50,2000000082530,Piece
2002604,2805500,Lodīšu uzmava sprauslu mehānismam pa labi,2000000074047,Piece
2002605,2805501,Lodīšu uzmava sprauslu mehānismam pa kresi,2000000074054,Piece
2002606,28057,Rīves disks 2mm CL50/55/60,2000000061849,Piece
2002607,28063,Griezējdisks 2mm CL50/55/60,2000000061818,Piece
2002608,28067,Griezēj disks 10mm CL50-60,2000000021607,Piece
2002609,28101,Kubiņu rīve 3X3 CL50,2000000082646,Piece
2002610,28111,Smalcinātāj disks kubiņiem 8*8mm CL50-60,2000000033587,Piece
2002611,28118,Smalcinātājdiska režģis 8*8 mm CL50-60 (kubiņiem),2000000072807,Piece
2002612,28E28H10P,Patraona ietvere E27H10P-01 ar gredzenu,2000005002793,Piece
2002613,290410,Kabeļu kurpe Cu 10mm2/M6,2000000116914,Piece
2002614,29058,Bukse Vākam CL50,2000000083612,Piece
2002615,29060,Produkta piespiedējs Robot Coupe CL50,2000000162874,Piece
2002616,2906509,Štuceris,2000000096407,Piece
2002617,2906526,Y sadalītājs D13,2000000149226,Piece
2002618,29156,Disku fiksējošā skrūve Robot Coupe,2000000025308,Piece
2002619,2925,Miksera lāpstiņas blīve MIX60P Talsa,2000000025155,Piece
2002620,29341,Vāks Robot Coupe R502,2000000079516,Piece
2002621,29777,Asmens 6X6 C2,2000000128917,Piece
2002622,29880,Produktu Padevējs R301C,2000000118574,Piece
2002623,298900,Brita ūdens caurplūdes skaitītājs elektronisks 10-100A,2000000087139,Piece
2002624,29925,CL60D vāka fiksators,2000000099880,Piece
2002626,30-000020,"1/2"" ārtrais savienojums iekšējais",2000000153872,Piece
2002627,30000711,Žņaugs 12-22,2000000137353,Piece
2002629,30002612,Šļūtenes Skava 40Mm/12Mm,2000000138787,Piece
2002630,3010067,Ātrais savienojums,2000000149639,Piece
2002631,3015077,Pilienu savācēja vanniņa 500*60*35mm,2000000135298,Piece
2002632,304336,Ritenis vitrīnai Ubert karstajai vitrīnai (304336),2000000101132,Piece
2002633,304341,Metāla aizbāznis sliedei Ubert (304341),2000000116525,Piece
2002634,304344,Ieliknis profilam 6mm stiklam Ubert,2000000112527,Meter
2002635,3049034,Ātras darbības drošinātājs D6.3*32mm,2000000153483,Piece
2002636,3051007,Karstumizturīgā vada uzgalis 100 gab.,2000000098548,Piece
2002637,3051022,Vada uzgaļa aizsargs (10 gab),2000000135335,Piece
2002638,3051176,Vada uzgalis (100 gab),2000000097008,Piece
