Item Number,Old product code,LOCAL ITEM NAME TRANSLATION,UPC Code,Primary Units Type
2000330,60002391,Svira A02,2000000153575,Piece
2000331,60004241400,Regulēšanas plāksnīte 0.050,2000000064079,Piece
2000332,60009,Blīve sildelementam boilerī 52*42*6,2000000155746,Piece
2000333,600104001,Elan-2040 UV lampa,2000000107820,Piece
2000334,600179,Montāžas skrūvju un uzgriežņu komplekts,2000000152943,Sett
2000335,600351,Barošanas bloka servisa kompl,2000000153032,Sett
2000336,6004-2RSH,Gultnis 6004-2RSH,2000005002953,Piece
2000337,60071,Blīve sprauslas galā,2000000155760,Piece
2000338,60081,Skava,2000000155739,Piece
"2000339,601056,""Ventilators Arneg vitrīnai 96mm, 10W230VAC"",2000000047621,Piece"
2000340,60260207800,Pacelšanas roktura fiksācijas skrūve SE12D,2000000073811,Piece
2000341,60265210101,VS8 šķēlētāja barošanas bloks,2000000012896,Piece
2000342,60274600400,Uzgrieznis apaļš,2000000106601,Piece
2000343,60280901400,Atdure - amortizātoram VS12D (60280901400),2000000035963,Piece
2000344,60380402200,Slīdņa tapa Bizerba SE12D,2000000081359,Piece
2000345,60384112602,Izolācijas plāksne,2000000118857,Piece
2000347,60387010125,Programmplate SE12D/Dsp,2000000124148,Piece
2000348,60540503201,Ķēde automātiskajam slaiserim,2000000126524,Piece
2000349,60540507400,Samontēta skava,2000000018423,Piece
2000350,60562400804,A 500 Konveijera Ass,2000000095714,Piece
2000351,60660004401,Zāģa Lentas Tīrītājs,2000000034621,Piece
2000352,60660200100,Dekoratīvā Folija Fk 23/32,2000000026794,Piece
2000353,61005184,Netīrumu Pacelšanas Vārsts Izvaddrenāžai,2000000036625,Piece
2000354,61061601001,KH uzlīmju ruļļa stiprinājums,2000000146140,Piece
2000355,61075100106,EC displeja plate,2000000019895,Piece
2000356,61105000105,Procesors ar seriālo portu CS svariem,2000000017990,Piece
2000357,61105030150,Procesors CS 300 Svariem,2000000021430,Piece
2000358,61105722150,Strāvas adapteris CS 300 MA84,2000000035260,Piece
2000359,61106076210,Cpu-ADC kabelis,2000000064093,Piece
2000360,61112800900,BC II klaviatūra gumijotā (61112800900),2000000116709,Piece
2000361,61115410152,BC II svariem barošanas bloks,2000000084466,Piece
2000362,61116000600,BC II svaru displeja kabelis,2000000110790,Piece
2000363,61202900400,Klaviatūras pogu plēve 96 taustiņi SW500,2000000086323,Piece
2000364,61231605602,Nosegplate SC printerim,2000000028491,Piece
2000365,61240200710,SC(H) 100 aAizmugurējais vāks,2000000124179,Piece
2000366,61240200885,SCII 100 kreisais sānu vāks,2000000147406,Piece
2000367,61240201700,Eņģes turētājs BS/SC 100/200 svariem,2000000033280,Piece
2000368,61240201985,SCII 100 printera vāks,2000000146171,Piece
2000369,61240204910,Aizmugurējais vāks SC II 200,2000000141367,Piece
2000370,61245030150,Galvenā plate SC svariem 3V 4MB,2000000027463,Piece
2000371,61245065201,LPB SC atmiņas palielināšanas modulis 2MB,2000000011431,Piece
2000372,61245090105,Ethernet karte SC svariem,2000000011448,Piece
2000373,61246000800,SC100 kontrol kabelis,2000000016412,Piece
2000374,61246015500,Printera kontroliera kabelis SC-H svariem,2000000086330,Piece
2000375,61251500501,Prinetera sānu vāks BS/SC 400- 00,2000000011585,Piece
2000376,61251504200,Printera vāciņš BS/SC 500 svariem,2000000011646,Piece
2000377,61252900800,Klaviatūras vāks BS/SC 100-800,2000000011684,Piece
2000378,61281500585,SC II 200 displeja korpuss pircēja puse,2000000141282,Piece
2000379,61340113005,Svaru devējs WS12 C6/12/6 ADW100 VB,2000000116136,Piece
2000380,61340216065,Svaru devējs WS18 C612 C3MI/15 ADC101,2000000081793,Piece
2000381,61371001400,Stikliņš uz skaneri CS300,2000000046914,Piece
2000382,61420201305,SCII 100 aizmugurējais vāks,2000000146201,Piece
2000384,61980203600,Durvju turētājs KH svariem RAL9003,2000000089416,Piece
"2000385,61980219210,""LCD displejs 7"""""""" GT-7C terminālam"",2000000151120,Piece"
2000386,61981037600,Displeja rāmis KH svariem,2000000083025,Piece
2000387,61985210163,Printera kontrolieris KH svari,2000000082998,Piece
2000389,61985450172,Barošanas bloks KH svariem,2000000083018,Piece
2000390,61996022600,Printera barošanas bloka vads KH svariem,2000000168142,Piece
2000391,6202ZZ,Gultnis 6202 ZZ /VA228 SKF karstumizturīgs,2000000097329,Piece
2000392,62040411,Kondensatora sensors Scotsman,2000000050577,Piece
2000393,6205.ZZ.C3,Gultnis 6205.ZZ.C3 SNR,2000000094014,Piece
2000394,6235,Virzuļa blīve H15P/H20P pildierīcēm 215X7mm,2000000019123,Piece
2000395,62551,Dienasgaismas spuldze 36W/840 G13/T8 SL1 GE,2000000111582,Piece
2000396,630331230,Abrazīvā lenta 800X50 K120 MNS630 nažu asinātājam,2000000028835,Piece
2000397,63520120501,Platformas stūra gumija (kreisā),2000000087573,Piece
2000398,63530120101,Kalibrēšanas plāksne pltaformai,2000000084497,Piece
2000399,63530621100,Svaru platformas vid. turētājpaplāksne,2000000046662,Piece
2000401,64010900,X-Gredzens,2000000116969,Piece
2000403,64555500150,Pamatplate GLP58,2000000077338,Piece
2000404,64570121200,Starplika ST/BT,2000000028125,Piece
2000405,64576000104,Barošanas bloks ST terminālam 90V 250V,2000000011905,Piece
2000406,64597000134,HW+SW BT CPU displejs WS/IADC40,2000000123264,Piece
2000407,64616101300,Klaviatūras un peles vads NT teminālam,2000000025650,Piece
2000409,65004450,Motora/mazgājamo sprauslu caurule,2000000116099,Piece
2000410,65004997,Mazgājošā strēle /7Sprauslas,2000000015064,Piece
2000412,65005484,Sprauslu Bukse Ar Gredzenu (Lf65005484 ),2000000137292,Piece
2000413,65040200,Ūdens blīvslēgs,2000000112442,Piece
2000414,65067406,Līmeņa devējs binam,2000000153704,Piece
2000415,65116000,Zobrats ledus ģenerātoram Scotsman,2000000163796,Piece
2000416,65450202100,Konveijera stiprinājums GLM-E,2000000098951,Piece
2000417,65455300154,GLM-E marķētāja barošanas bloks,2000000075402,Piece
2000418,65460602700,Konveijera pievadzobsiksna T10 410*16 GLM-I 40,2000000140674,Piece
